estado,densidades
 District of Columbia,11011
 New Jersey,1218
 Puerto Rico,1046
 Rhode Island,1021
 Massachusetts,871
 Connecticut,741
 Maryland,618
 Delaware,485
 New York,420
 Florida,378
 Pennsylvania,286
 Ohio,284
 California,251
 Illinois,231
 Hawaii,222
 Virginia,212
 North Carolina,206
 Indiana,184
 Georgia,177
 Michigan,175
 South Carolina,162
 Tennessee,160
 New Hampshire,148
 Kentucky,112
 Louisiana,108
 Washington,107
 Wisconsin,106
 Texas,105
 Alabama,95
 Missouri,88
 West Virginia,76
 Minnesota,68
 Vermont,67
 Mississippi,63
 Arizona,60
 Oklahoma,57
 Arkansas,57
 Iowa,55
 Colorado,52
 Maine,43
 Oregon,41
 Kansas,36
 Utah,36
 Nevada,26
 Nebraska,24
 Idaho,20
 New Mexico,17
 South Dakota,11
 North Dakota,10
 Montana,7
 Wyoming,6
 Alaska,1
